comuna|fraccion|radio|nombre
6|2|1|NULL
6|3|1|NULL
6|4|1|NULL
6|5|1|NULL
6|6|1|NULL
6|7|1|NULL
6|8|1|NULL
6|9|1|NULL
6|10|1|NULL
6|11|1|NULL
6|12|1|NULL
6|13|1|NULL
6|14|1|NULL
6|15|1|NULL
6|16|1|NULL
6|17|1|NULL
6|18|1|NULL
6|19|1|NULL
6|20|1|NULL
6|21|1|NULL
7|1|1|NULL
7|2|1|NULL
7|3|1|NULL
7|4|1|NULL
7|5|1|NULL
7|6|1|NULL
7|7|1|NULL
7|8|1|NULL
7|9|1|NULL
7|10|1|NULL
7|11|1|NULL
7|12|1|NULL
7|13|1|NULL
7|14|1|NULL
7|15|1|NULL
7|16|1|NULL
7|17|1|NULL
7|18|1|NULL
7|19|1|NULL
7|20|1|NULL
7|21|1|NULL
7|22|1|NULL
7|23|1|NULL
7|24|1|NULL
8|1|1|NULL
8|2|1|NULL
8|3|1|NULL
8|4|1|NULL
8|5|1|NULL
8|6|1|NULL
8|7|1|NULL
8|8|1|NULL
8|9|1|NULL
8|10|1|NULL
8|11|1|NULL
8|12|1|NULL
8|13|1|NULL
8|14|1|NULL
8|15|1|NULL
8|16|1|NULL
8|17|1|NULL
9|1|1|NULL
9|2|1|NULL
9|3|1|NULL
9|4|1|NULL
9|5|1|NULL
9|6|1|NULL
9|7|1|NULL
9|8|1|NULL
9|9|1|NULL
9|10|1|NULL
9|11|1|NULL
9|12|1|NULL
9|13|1|NULL
9|14|1|NULL
9|15|1|NULL
9|16|1|NULL
10|1|1|NULL
10|2|1|NULL
10|3|1|NULL
10|4|1|NULL
10|5|1|NULL
10|6|1|NULL
10|7|1|NULL
10|8|1|NULL
10|9|1|NULL
10|10|1|NULL
10|11|1|NULL
10|12|1|NULL
10|13|1|NULL
10|14|1|NULL
10|15|1|NULL
10|16|1|NULL
10|17|1|NULL
10|18|1|NULL
10|19|1|NULL
11|1|1|NULL
11|2|1|NULL
11|3|1|NULL
11|4|1|NULL
11|5|1|NULL
11|6|1|NULL
11|7|1|NULL
11|8|1|NULL
11|9|1|NULL
11|10|1|NULL
11|11|1|NULL
11|12|1|NULL
11|13|1|NULL
11|14|1|NULL
11|15|1|NULL
11|16|1|NULL
11|17|1|NULL
11|18|1|NULL
11|19|1|NULL
11|20|1|NULL
11|21|1|NULL
11|22|1|NULL
12|1|1|NULL
12|2|1|NULL
12|3|1|NULL
12|4|1|NULL
12|5|1|NULL
12|6|1|NULL
12|7|1|NULL
12|8|1|NULL
12|9|1|NULL
12|10|1|NULL
12|11|1|NULL
12|12|1|NULL
12|13|1|NULL
12|14|1|NULL
12|15|1|NULL
12|16|1|NULL
12|17|1|NULL
12|18|1|NULL
12|19|1|NULL
12|20|1|NULL
12|21|1|NULL
12|22|1|NULL
13|1|1|NULL
13|2|1|NULL
13|3|1|NULL
13|4|1|NULL
13|5|1|NULL
13|6|1|NULL
13|7|1|NULL
13|8|1|NULL
13|9|1|NULL
13|10|1|NULL
13|11|1|NULL
13|12|1|NULL
13|13|1|NULL
13|14|1|NULL
13|15|1|NULL
13|16|1|NULL
13|17|1|NULL
13|18|1|NULL
13|19|1|NULL
13|20|1|NULL
13|21|1|NULL
13|22|1|NULL
13|23|1|NULL
13|24|1|NULL
13|25|1|NULL
13|26|1|NULL
13|27|1|NULL
13|28|1|NULL
13|29|1|NULL
14|1|1|NULL
14|2|1|NULL
14|3|1|NULL
14|4|1|NULL
14|5|1|NULL
14|6|1|NULL
14|7|1|NULL
14|8|1|NULL
14|9|1|NULL
14|10|1|NULL
14|11|1|NULL
14|12|1|NULL
14|13|1|NULL
14|14|1|NULL
14|15|1|NULL
14|16|1|NULL
14|17|1|NULL
14|18|1|NULL
14|19|1|NULL
14|20|1|NULL
14|21|1|NULL
14|22|1|NULL
14|23|1|NULL
14|24|1|NULL
14|25|1|NULL
14|26|1|NULL
14|27|1|NULL
14|28|1|NULL
14|29|1|NULL
14|30|1|NULL
14|31|1|NULL
15|1|1|NULL
15|2|1|NULL
15|3|1|NULL
15|4|1|NULL
15|5|1|NULL
15|6|1|NULL
15|7|1|NULL
15|8|1|NULL
15|9|1|NULL
15|10|1|NULL
15|11|1|NULL
15|12|1|NULL
15|13|1|NULL
15|14|1|NULL
15|15|1|NULL
15|16|1|NULL
15|17|1|NULL
15|18|1|NULL
15|19|1|NULL
15|20|1|NULL
15|21|1|NULL
4|27|1|NULL
4|24|1|NULL
4|25|1|NULL
8|18|1|NULL
1|30|1|NULL
4|28|1|NULL
4|29|1|NULL
1|2|2|NULL
1|3|2|NULL
1|4|2|NULL
1|5|2|NULL
1|6|2|NULL
1|7|2|NULL
1|8|2|NULL
1|9|2|NULL
1|10|2|NULL
1|11|2|NULL
1|12|2|NULL
1|13|2|NULL
1|14|2|NULL
1|15|2|NULL
1|16|2|NULL
1|17|2|NULL
1|18|2|NULL
1|19|2|NULL
1|20|2|NULL
1|21|2|NULL
1|22|2|NULL
1|23|2|NULL
1|24|2|NULL
1|25|2|NULL
1|26|2|NULL
1|27|2|NULL
1|28|2|NULL
1|29|2|NULL
2|1|2|NULL
2|2|2|NULL
2|3|2|NULL
2|4|2|NULL
2|5|2|NULL
2|6|2|NULL
2|7|2|NULL
2|8|2|NULL
2|9|2|NULL
2|10|2|NULL
2|11|2|NULL
2|12|2|NULL
2|13|2|NULL
2|14|2|NULL
2|15|2|NULL
2|16|2|NULL
2|17|2|NULL
2|18|2|NULL
2|19|2|NULL
2|20|2|NULL
2|21|2|NULL
2|22|2|NULL
2|23|2|NULL
2|24|2|NULL
2|25|2|NULL
3|1|2|NULL
3|2|2|NULL
3|3|2|NULL
3|4|2|NULL
3|5|2|NULL
3|6|2|NULL
3|7|2|NULL
3|8|2|NULL
3|9|2|NULL
3|10|2|NULL
3|11|2|NULL
3|12|2|NULL
3|13|2|NULL
3|14|2|NULL
3|15|2|NULL
3|16|2|NULL
3|17|2|NULL
3|18|2|NULL
3|19|2|NULL
3|20|2|NULL
3|21|2|NULL
3|22|2|NULL
3|23|2|NULL
3|24|2|NULL
3|25|2|NULL
3|26|2|NULL
3|27|2|NULL
4|1|2|NULL
4|2|2|NULL
4|3|2|NULL
4|4|2|NULL
4|5|2|NULL
4|6|2|NULL
4|7|2|NULL
4|8|2|NULL
4|9|2|NULL
4|10|2|NULL
4|11|2|NULL
4|12|2|NULL
4|13|2|NULL
4|14|2|NULL
4|15|2|NULL
4|16|2|NULL
4|17|2|NULL
4|19|2|NULL
4|20|2|NULL
4|21|2|NULL
4|22|2|NULL
4|23|2|NULL
4|26|2|NULL
5|1|2|NULL
5|2|2|NULL
5|3|2|NULL
5|4|2|NULL
5|5|2|NULL
5|6|2|NULL
5|7|2|NULL
5|8|2|NULL
5|9|2|NULL
5|10|2|NULL
5|11|2|NULL
5|12|2|NULL
5|13|2|NULL
5|14|2|NULL
5|15|2|NULL
5|16|2|NULL
5|17|2|NULL
5|18|2|NULL
5|19|2|NULL
5|20|2|NULL
5|21|2|NULL
5|22|2|NULL
6|1|2|NULL
6|2|2|NULL
6|3|2|NULL
6|4|2|NULL
6|5|2|NULL
6|6|2|NULL
6|7|2|NULL
6|8|2|NULL
6|9|2|NULL
6|10|2|NULL
6|11|2|NULL
6|12|2|NULL
6|13|2|NULL
6|14|2|NULL
6|15|2|NULL
6|16|2|NULL
6|17|2|NULL
6|18|2|NULL
6|19|2|NULL
6|20|2|NULL
6|21|2|NULL
7|1|2|NULL
7|2|2|NULL
7|3|2|NULL
7|4|2|NULL
7|5|2|NULL
7|6|2|NULL
7|7|2|NULL
7|8|2|NULL
7|9|2|NULL
7|10|2|NULL
7|11|2|NULL
7|12|2|NULL
7|13|2|NULL
7|14|2|NULL
7|15|2|NULL
7|16|2|NULL
7|17|2|NULL
7|18|2|NULL
7|19|2|NULL
7|20|2|NULL
7|21|2|NULL
7|22|2|NULL
7|23|2|NULL
7|24|2|NULL
8|1|2|NULL
8|2|2|NULL
8|3|2|NULL
8|4|2|NULL
8|5|2|NULL
8|6|2|NULL
8|7|2|NULL
8|8|2|NULL
8|9|2|NULL
8|10|2|NULL
8|11|2|NULL
8|12|2|NULL
8|13|2|NULL
8|14|2|NULL
8|15|2|NULL
8|16|2|NULL
8|17|2|NULL
9|1|2|NULL
9|2|2|NULL
9|3|2|NULL
9|4|2|NULL
9|5|2|NULL
9|6|2|NULL
9|7|2|NULL
9|8|2|NULL
9|9|2|NULL
9|10|2|NULL
9|11|2|NULL
9|12|2|NULL
9|13|2|NULL
9|14|2|NULL
9|15|2|NULL
9|16|2|NULL
10|1|2|NULL
10|2|2|NULL
10|3|2|NULL
10|4|2|NULL
10|5|2|NULL
10|6|2|NULL
10|7|2|NULL
10|8|2|NULL
10|9|2|NULL
10|10|2|NULL
10|11|2|NULL
10|12|2|NULL
10|13|2|NULL
10|14|2|NULL
10|15|2|NULL
10|16|2|NULL
10|17|2|NULL
10|18|2|NULL
10|19|2|NULL
11|1|2|NULL
11|2|2|NULL
11|3|2|NULL
11|4|2|NULL
11|5|2|NULL
11|6|2|NULL
11|7|2|NULL
11|8|2|NULL
11|9|2|NULL
11|10|2|NULL
11|11|2|NULL
11|12|2|NULL
11|13|2|NULL
11|14|2|NULL
11|15|2|NULL
11|16|2|NULL
11|17|2|NULL
11|18|2|NULL
11|19|2|NULL
11|20|2|NULL
11|21|2|NULL
11|22|2|NULL
12|1|2|NULL
12|2|2|NULL
12|3|2|NULL
12|4|2|NULL
12|5|2|NULL
12|6|2|NULL
12|7|2|NULL
12|8|2|NULL
12|9|2|NULL
12|10|2|NULL
12|11|2|NULL
12|12|2|NULL
12|13|2|NULL
12|14|2|NULL
12|15|2|NULL
12|16|2|NULL
12|17|2|NULL
12|18|2|NULL
12|19|2|NULL
12|20|2|NULL
12|21|2|NULL
12|22|2|NULL
13|1|2|NULL
13|2|2|NULL
13|3|2|NULL
13|4|2|NULL
13|5|2|NULL
13|6|2|NULL
13|7|2|NULL
13|8|2|NULL
13|9|2|NULL
13|10|2|NULL
13|11|2|NULL
13|12|2|NULL
13|13|2|NULL
13|14|2|NULL
13|15|2|NULL
13|16|2|NULL
13|17|2|NULL
13|18|2|NULL
13|19|2|NULL
13|20|2|NULL
13|21|2|NULL
13|22|2|NULL
13|23|2|NULL
13|24|2|NULL
13|25|2|NULL
13|26|2|NULL
13|27|2|NULL
13|28|2|NULL
13|29|2|NULL
14|1|2|NULL
14|2|2|NULL
14|3|2|NULL
14|4|2|NULL
14|5|2|NULL
14|6|2|NULL
14|7|2|NULL
14|8|2|NULL
14|9|2|NULL
14|10|2|NULL
14|11|2|NULL
14|12|2|NULL
14|13|2|NULL
14|14|2|NULL
14|15|2|NULL
14|16|2|NULL
14|17|2|NULL
14|18|2|NULL
14|19|2|NULL
14|20|2|NULL
14|21|2|NULL
14|22|2|NULL
14|23|2|NULL
14|24|2|NULL
14|25|2|NULL
14|26|2|NULL
14|27|2|NULL
14|28|2|NULL
14|29|2|NULL
14|30|2|NULL
14|31|2|NULL
15|1|2|NULL
15|2|2|NULL
15|3|2|NULL
15|4|2|NULL
15|5|2|NULL
15|6|2|NULL
15|7|2|NULL
15|8|2|NULL
15|9|2|NULL
15|10|2|NULL
15|11|2|NULL
15|12|2|NULL
15|13|2|NULL
15|14|2|NULL
15|15|2|NULL
15|16|2|NULL
15|17|2|NULL
15|18|2|NULL
15|19|2|NULL
15|20|2|NULL
15|21|2|NULL
4|27|2|NULL
4|24|2|NULL
4|25|2|NULL
8|18|2|NULL
1|30|2|NULL
4|28|2|NULL
4|29|2|NULL
1|2|3|NULL
1|3|3|NULL
1|4|3|NULL
1|5|3|NULL
1|6|3|NULL
1|7|3|NULL
1|8|3|NULL
1|9|3|NULL
1|10|3|NULL
1|11|3|NULL
1|12|3|NULL
1|13|3|NULL
1|14|3|NULL
1|15|3|NULL
1|16|3|NULL
1|17|3|NULL
1|18|3|NULL
1|19|3|NULL
1|20|3|NULL
1|21|3|NULL
1|22|3|NULL
1|23|3|NULL
1|24|3|NULL
1|25|3|NULL
1|26|3|NULL
1|27|3|NULL
1|28|3|NULL
1|29|3|NULL
2|2|3|NULL
2|3|3|NULL
2|4|3|NULL
2|5|3|NULL
2|6|3|NULL
2|7|3|NULL
2|8|3|NULL
2|9|3|NULL
2|10|3|NULL
2|11|3|NULL
2|12|3|NULL
2|13|3|NULL
2|14|3|NULL
2|15|3|NULL
2|16|3|NULL
2|17|3|NULL
2|18|3|NULL
2|19|3|NULL
2|20|3|NULL
2|21|3|NULL
2|22|3|NULL
2|23|3|NULL
2|24|3|NULL
2|25|3|NULL
3|1|3|NULL
3|2|3|NULL
3|3|3|NULL
3|4|3|NULL
3|5|3|NULL
3|6|3|NULL
3|7|3|NULL
3|8|3|NULL
3|9|3|NULL
3|10|3|NULL
3|11|3|NULL
3|12|3|NULL
3|13|3|NULL
3|14|3|NULL
3|15|3|NULL
3|16|3|NULL
3|17|3|NULL
3|18|3|NULL
3|19|3|NULL
3|20|3|NULL
3|21|3|NULL
3|22|3|NULL
3|23|3|NULL
3|24|3|NULL
3|25|3|NULL
3|26|3|NULL
3|27|3|NULL
4|1|3|NULL
4|2|3|NULL
4|3|3|NULL
4|4|3|NULL
4|5|3|NULL
4|6|3|NULL
4|7|3|NULL
4|8|3|NULL
4|9|3|NULL
4|10|3|NULL
4|11|3|NULL
4|12|3|NULL
4|13|3|NULL
4|14|3|NULL
4|15|3|NULL
4|16|3|NULL
4|17|3|NULL
4|19|3|NULL
4|20|3|NULL
4|21|3|NULL
4|22|3|NULL
4|23|3|NULL
4|26|3|NULL
5|1|3|NULL
5|2|3|NULL
5|3|3|NULL
5|4|3|NULL
5|5|3|NULL
5|6|3|NULL
5|7|3|NULL
5|8|3|NULL
5|9|3|NULL
5|10|3|NULL
5|11|3|NULL
5|12|3|NULL
5|13|3|NULL
5|14|3|NULL
5|15|3|NULL
5|16|3|NULL
5|17|3|NULL
5|18|3|NULL
5|19|3|NULL
5|20|3|NULL
5|21|3|NULL
5|22|3|NULL
6|1|3|NULL
6|2|3|NULL
6|3|3|NULL
6|4|3|NULL
6|5|3|NULL
6|6|3|NULL
6|7|3|NULL
6|8|3|NULL
6|9|3|NULL
6|10|3|NULL
6|11|3|NULL
6|12|3|NULL
6|13|3|NULL
6|14|3|NULL
6|15|3|NULL
6|16|3|NULL
6|17|3|NULL
6|18|3|NULL
6|19|3|NULL
6|20|3|NULL
6|21|3|NULL
7|1|3|NULL
7|2|3|NULL
7|3|3|NULL
7|4|3|NULL
7|5|3|NULL
7|6|3|NULL
7|7|3|NULL
7|8|3|NULL
7|9|3|NULL
7|10|3|NULL
7|11|3|NULL
7|12|3|NULL
7|13|3|NULL
7|14|3|NULL
7|15|3|NULL
7|16|3|NULL
7|17|3|NULL
7|18|3|NULL
7|19|3|NULL
7|20|3|NULL
7|21|3|NULL
7|22|3|NULL
7|23|3|NULL
7|24|3|NULL
8|1|3|NULL
8|2|3|NULL
8|3|3|NULL
8|4|3|NULL
8|5|3|NULL
8|6|3|NULL
8|7|3|NULL
8|8|3|NULL
8|9|3|NULL
8|10|3|NULL
8|11|3|NULL
8|12|3|NULL
8|13|3|NULL
8|14|3|NULL
8|15|3|NULL
8|16|3|NULL
8|17|3|NULL
9|1|3|NULL
9|2|3|NULL
9|3|3|NULL
9|4|3|NULL
9|5|3|NULL
9|6|3|NULL
9|7|3|NULL
9|8|3|NULL
9|9|3|NULL
9|10|3|NULL
9|11|3|NULL
9|12|3|NULL
9|13|3|NULL
9|14|3|NULL
9|15|3|NULL
9|16|3|NULL
10|1|3|NULL
10|2|3|NULL
10|3|3|NULL
10|4|3|NULL
10|5|3|NULL
10|6|3|NULL
10|7|3|NULL
10|8|3|NULL
10|9|3|NULL
10|10|3|NULL
10|11|3|NULL
10|12|3|NULL
10|13|3|NULL
10|14|3|NULL
10|15|3|NULL
10|16|3|NULL
10|17|3|NULL
10|18|3|NULL
10|19|3|NULL
11|1|3|NULL
11|2|3|NULL
11|3|3|NULL
11|4|3|NULL
11|5|3|NULL
11|6|3|NULL
11|7|3|NULL
11|8|3|NULL
11|9|3|NULL
11|10|3|NULL
11|11|3|NULL
11|12|3|NULL
11|13|3|NULL
11|14|3|NULL
11|15|3|NULL
11|16|3|NULL
11|17|3|NULL
11|18|3|NULL
11|19|3|NULL
11|20|3|NULL
11|21|3|NULL
11|22|3|NULL
12|1|3|NULL
12|2|3|NULL
12|3|3|NULL
12|4|3|NULL
12|5|3|NULL
12|6|3|NULL
12|7|3|NULL
12|8|3|NULL
12|9|3|NULL
12|10|3|NULL
12|11|3|NULL
12|12|3|NULL
12|13|3|NULL
12|14|3|NULL
12|15|3|NULL
12|16|3|NULL
12|17|3|NULL
12|18|3|NULL
12|19|3|NULL
12|20|3|NULL
12|21|3|NULL
12|22|3|NULL
13|1|3|NULL
13|2|3|NULL
13|3|3|NULL
13|4|3|NULL
13|5|3|NULL
13|6|3|NULL
13|7|3|NULL
13|8|3|NULL
13|9|3|NULL
13|10|3|NULL
13|11|3|NULL
13|12|3|NULL
13|13|3|NULL
13|14|3|NULL
13|15|3|NULL
13|16|3|NULL
13|17|3|NULL
13|18|3|NULL
13|19|3|NULL
13|20|3|NULL
13|21|3|NULL
13|22|3|NULL
13|23|3|NULL
13|24|3|NULL
13|25|3|NULL
13|26|3|NULL
13|27|3|NULL
13|28|3|NULL
13|29|3|NULL
14|1|3|NULL
14|2|3|NULL
14|3|3|NULL
14|4|3|NULL
14|5|3|NULL
14|6|3|NULL
14|7|3|NULL
14|8|3|NULL
14|9|3|NULL
14|11|3|NULL
14|12|3|NULL
14|13|3|NULL
14|14|3|NULL
14|15|3|NULL
14|16|3|NULL
14|17|3|NULL
14|18|3|NULL
14|19|3|NULL
14|20|3|NULL
14|21|3|NULL
14|22|3|NULL
14|23|3|NULL
14|24|3|NULL
14|25|3|NULL
14|26|3|NULL
14|27|3|NULL
14|28|3|NULL
14|29|3|NULL
14|30|3|NULL
14|31|3|NULL
15|1|3|NULL
15|2|3|NULL
15|3|3|NULL
15|4|3|NULL
15|5|3|NULL
15|6|3|NULL
15|7|3|NULL
15|8|3|NULL
15|9|3|NULL
15|10|3|NULL
15|11|3|NULL
15|12|3|NULL
15|13|3|NULL
15|14|3|NULL
15|15|3|NULL
15|16|3|NULL
15|17|3|NULL
15|18|3|NULL
15|19|3|NULL
15|20|3|NULL
15|21|3|NULL
4|27|3|NULL
4|24|3|NULL
4|25|3|NULL
8|18|3|NULL
1|30|3|NULL
4|28|3|NULL
4|29|3|NULL
1|2|4|NULL
1|3|4|NULL
1|4|4|NULL
1|5|4|NULL
1|6|4|NULL
1|7|4|NULL
1|8|4|NULL
1|9|4|NULL
1|10|4|NULL
1|11|4|NULL
1|12|4|NULL
1|13|4|NULL
1|14|4|NULL
1|15|4|NULL
1|16|4|NULL
1|17|4|NULL
1|18|4|NULL
1|19|4|NULL
1|20|4|NULL
1|21|4|NULL
1|22|4|NULL
1|23|4|NULL
1|24|4|NULL
1|25|4|NULL
1|26|4|NULL
1|27|4|NULL
1|28|4|NULL
1|29|4|NULL
2|2|4|NULL
2|3|4|NULL
2|4|4|NULL
2|5|4|NULL
2|6|4|NULL
2|7|4|NULL
2|8|4|NULL
2|9|4|NULL
2|10|4|NULL
2|11|4|NULL
2|12|4|NULL
2|13|4|NULL
2|14|4|NULL
2|15|4|NULL
2|16|4|NULL
2|17|4|NULL
2|18|4|NULL
2|19|4|NULL
2|20|4|NULL
2|21|4|NULL
2|22|4|NULL
2|23|4|NULL
2|24|4|NULL
2|25|4|NULL
3|1|4|NULL
3|2|4|NULL
3|3|4|NULL
3|4|4|NULL
3|5|4|NULL
3|6|4|NULL
3|7|4|NULL
3|8|4|NULL
3|9|4|NULL
3|10|4|NULL
3|11|4|NULL
3|12|4|NULL
3|13|4|NULL
3|14|4|NULL
3|15|4|NULL
3|16|4|NULL
3|17|4|NULL
3|18|4|NULL
3|19|4|NULL
3|20|4|NULL
3|21|4|NULL
3|22|4|NULL
3|23|4|NULL
3|24|4|NULL
3|25|4|NULL
3|26|4|NULL
3|27|4|NULL
4|1|4|NULL
4|2|4|NULL
4|3|4|NULL
4|4|4|NULL
4|5|4|NULL
4|6|4|NULL
4|7|4|NULL
4|8|4|NULL
4|9|4|NULL
4|10|4|NULL
4|11|4|NULL
4|12|4|NULL
4|13|4|NULL
4|14|4|NULL
4|15|4|NULL
4|16|4|NULL
4|17|4|NULL
4|19|4|NULL
4|20|4|NULL
4|21|4|NULL
4|22|4|NULL
4|23|4|NULL
5|1|4|NULL
5|2|4|NULL
5|3|4|NULL
5|4|4|NULL
5|5|4|NULL
5|6|4|NULL
5|7|4|NULL
5|8|4|NULL
5|9|4|NULL
5|10|4|NULL
5|11|4|NULL
5|12|4|NULL
5|13|4|NULL
5|14|4|NULL
5|15|4|NULL
5|16|4|NULL
5|17|4|NULL
5|18|4|NULL
5|19|4|NULL
5|20|4|NULL
5|21|4|NULL
5|22|4|NULL
6|1|4|NULL
6|2|4|NULL
6|3|4|NULL
6|4|4|NULL
6|5|4|NULL
6|6|4|NULL
6|7|4|NULL
6|8|4|NULL
6|9|4|NULL
6|10|4|NULL
6|11|4|NULL
6|12|4|NULL
6|13|4|NULL
6|14|4|NULL
6|15|4|NULL
6|16|4|NULL
6|17|4|NULL
6|18|4|NULL
6|19|4|NULL
6|20|4|NULL
6|21|4|NULL
7|1|4|NULL
7|2|4|NULL
7|3|4|NULL
7|4|4|NULL
7|5|4|NULL
7|6|4|NULL
7|7|4|NULL
7|8|4|NULL
7|9|4|NULL
7|10|4|NULL
7|11|4|NULL
7|12|4|NULL
7|13|4|NULL
7|14|4|NULL
7|15|4|NULL
7|16|4|NULL
7|17|4|NULL
7|18|4|NULL
7|19|4|NULL
7|20|4|NULL
7|21|4|NULL
7|22|4|NULL
7|23|4|NULL
7|24|4|NULL
8|1|4|NULL
8|2|4|NULL
8|3|4|NULL
8|4|4|NULL
8|5|4|NULL
8|6|4|NULL
8|7|4|NULL
8|8|4|NULL
8|9|4|NULL
8|10|4|NULL
8|11|4|NULL
8|12|4|NULL
8|13|4|NULL
8|14|4|NULL
8|15|4|NULL
8|16|4|NULL
8|17|4|NULL
9|1|4|NULL
9|2|4|NULL
9|3|4|NULL
9|4|4|NULL
9|5|4|NULL
9|6|4|NULL
9|7|4|NULL
9|8|4|NULL
9|9|4|NULL
9|10|4|NULL
9|11|4|NULL
9|12|4|NULL
9|13|4|NULL
9|14|4|NULL
9|15|4|NULL
9|16|4|NULL
10|1|4|NULL
10|2|4|NULL
10|3|4|NULL
10|4|4|NULL
10|5|4|NULL
10|6|4|NULL
10|7|4|NULL
10|8|4|NULL
10|9|4|NULL
10|10|4|NULL
10|11|4|NULL
10|12|4|NULL
10|13|4|NULL
10|14|4|NULL
10|15|4|NULL
10|16|4|NULL
10|17|4|NULL
10|18|4|NULL
10|19|4|NULL
11|1|4|NULL
11|2|4|NULL
11|3|4|NULL
11|4|4|NULL
11|5|4|NULL
11|6|4|NULL
11|7|4|NULL
11|8|4|NULL
11|9|4|NULL
11|10|4|NULL
11|11|4|NULL
11|12|4|NULL
11|13|4|NULL
11|14|4|NULL
11|15|4|NULL
11|16|4|NULL
11|17|4|NULL
11|18|4|NULL
11|19|4|NULL
11|20|4|NULL
11|21|4|NULL
11|22|4|NULL
12|1|4|NULL
12|2|4|NULL
12|3|4|NULL
12|4|4|NULL
12|5|4|NULL
12|6|4|NULL
12|7|4|NULL
12|8|4|NULL
12|9|4|NULL
12|10|4|NULL
12|11|4|NULL
12|12|4|NULL
12|13|4|NULL
12|14|4|NULL
12|15|4|NULL
12|16|4|NULL
12|17|4|NULL
12|18|4|NULL
12|19|4|NULL
12|20|4|NULL
12|21|4|NULL
12|22|4|NULL
13|1|4|NULL
13|2|4|NULL
13|3|4|NULL
13|4|4|NULL
13|5|4|NULL
13|6|4|NULL
13|7|4|NULL
13|8|4|NULL
13|9|4|NULL
13|10|4|NULL
13|11|4|NULL
13|12|4|NULL
13|13|4|NULL
13|14|4|NULL
13|15|4|NULL
13|16|4|NULL
13|17|4|NULL
13|18|4|NULL
13|19|4|NULL
13|20|4|NULL
13|21|4|NULL
13|22|4|NULL
13|23|4|NULL
13|24|4|NULL
13|25|4|NULL
13|26|4|NULL
13|27|4|NULL
13|28|4|NULL
13|29|4|NULL
14|1|4|NULL
14|2|4|NULL
14|3|4|NULL
14|4|4|NULL
14|5|4|NULL
14|6|4|NULL
14|7|4|NULL
14|8|4|NULL
14|9|4|NULL
14|11|4|NULL
14|12|4|NULL
14|13|4|NULL
14|14|4|NULL
14|15|4|NULL
14|16|4|NULL
14|17|4|NULL
14|18|4|NULL
14|19|4|NULL
14|20|4|NULL
14|21|4|NULL
14|22|4|NULL
14|23|4|NULL
14|24|4|NULL
14|25|4|NULL
14|26|4|NULL
14|27|4|NULL
14|28|4|NULL
14|29|4|NULL
14|30|4|NULL
14|31|4|NULL
15|1|4|NULL
15|2|4|NULL
15|3|4|NULL
15|4|4|NULL
15|5|4|NULL
15|6|4|NULL
15|7|4|NULL
15|8|4|NULL
15|9|4|NULL
15|10|4|NULL
15|11|4|NULL
